Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
choice3_done_b2e30cb5	e	He's not sure which approach would work best. Could you give him some recommendations? 	game/red_route.rpy	244	e "[what]"
question4_6124c2a3	e	PUZZLE!\nWhat do you think could happen if local communities got involved in water conservation projects?	game/red_route.rpy	256	e "[what]" nointeract
correct4_f8f2e37a	e	You are right! When local communities are actively engaged in water conservation efforts, they are more likely to take ownership of the projects, leading to better maintenance and sustainable management of water resources	game/red_route.rpy	273	e "[what]"
wrong4_b716ceb5	e	It seems your choice didn’t quite fit Rahul’s needs. Review the options again. With each attempt, you'll help Rahul get closer to his dream of a more sustainable future. Keep trying!	game/red_route.rpy	287	e "[what]"
choice4_done_440390c1	e	Rahul, a villager boy, aims to desilt ponds and lakes as part of his water conservation efforts.	game/red_route.rpy	302	e "[what]"
choice4_done_bde82bd9	e	He focuses on the primary ecological benefit of enhancing water storage capacity and improving aquatic ecosystems .	game/red_route.rpy	303	e "[what]"
choice4_done_c5a0b3eb	e	he is uncertain about the most effective approach. Could you suggest some options for him?	game/red_route.rpy	305	e "[what]"
question5_990b9e50	e	PUZZLE!\nfind out the primary ecological benefit of desilting ponds and lakes as part of a community-based water conservation strategy?	game/red_route.rpy	320	e "[what]" nointeract
correct5_305c7468	e	Correct! by Enhancing water storage capacity and improved aquatic ecosystems Desilting helps to remove accumulated sediments, which increases the water storage capacity of ponds and lakes. This process also improves water quality and creates a healthier environment for aquatic life	game/red_route.rpy	337	e "[what]"
wrong5_b716ceb5	e	It seems your choice didn’t quite fit Rahul’s needs. Review the options again. With each attempt, you'll help Rahul get closer to his dream of a more sustainable future. Keep trying!	game/red_route.rpy	351	e "[what]"
choice5_done_949dd070	e	Thank you for playing and supporting Rahul's mission for a better tomorrow.	game/red_route.rpy	366	e "[what]"
choice5_done_9da7e610	e	 Your guidance has made a difference in his journey towards sustainable water management. Together, we can create a greener, more sustainable future!	game/red_route.rpy	367	e "[what]"
choice5_done_63fdd6bf		Let's move to the next level.	game/red_route.rpy	372	"[what]"
blue_start_5d5de5c1	e	Hi! I am Kavya.	game/blue_route.rpy	37	e "[what]"
blue_start_8d166c44	e	A young, passionate environmental scientist.	game/blue_route.rpy	39	e "[what]"
blue_start_58a2aaf7	e	I grew up in a small village where water was always scarce. The wells ran dry often, and it became clear that poor groundwater management was the cause.	game/blue_route.rpy	55	e "[what]"
blue_start_5f574ede	e	... Seeing my family and neighbors struggle for something as basic as water left a deep mark on me. That's when I knew I wanted to dedicate my life to solving these issues.	game/blue_route.rpy	63	e "[what]"
blue_start_4a99dc21	e	... My experiences growing up pushed me to become an environmental scientist, and now I focus on finding sustainable solutions for water conservation.	game/blue_route.rpy	70	e "[what]"
blue_start_6115ea3c	e	... I also believe in the power of education, so I make it my mission to teach others how we can manage water better and preserve this precious resource for future generations.	game/blue_route.rpy	72	e "[what]"
blue_start_ca340d58	e	Let's begin the journey, the Aqua Guardian, an educational game on groundwater conservation and management	game/blue_route.rpy	88	e "[what]"
silver_start_2eb57d8f	silver_character	Yo. I'm [silver_character].	game/silver_route.rpy	4	silver_character "[what]"
silver_ending_78a37233	silver_character	Coming soon!	game/silver_route.rpy	12	silver_character "[what]"
silver_ending_65e80181		THE END	game/silver_route.rpy	16	"[what]"
gold_start_f53383a9	gold_character	Yo. I'm [gold_character].	game/gold_route.rpy	4	gold_character "[what]"
gold_ending_ca61f306	gold_character	Coming soon!	game/gold_route.rpy	12	gold_character "[what]"
gold_ending_65e80181		THE END	game/gold_route.rpy	16	"[what]"
